country;capitol;eu_member;state_x;state_y
Belgien;Brüssel;True;285;502
Bulgarien;Sofia;True;593;646
Deutschland;Berlin;True;360;488
Dänemark;Kopenhagen;True;348;390
Estland;Tallinn;True;527;315
Finnland;Helsinki;True;512;228
Frankreich;Paris;True;253;570
Griechenland;Athen;True;571;720
Irland;Dublin;True;134;431
Italien;Rom;True;395;665
Kroatien;Zagreb;True;459;609
Lettland;Riga;True;541;355
Litauen;Vilnius;True;521;386
Luxemburg;Luxemburg;True;325;523
Malta;Valletta;True;452;813
Niederlande;Amsterdam;True;292;473
Österreich;Wien;True;410;576
Polen;Warschau;True;477;466
Portugal;Lissabon;True;68;683
Rumänien;Bukarest;True;575;584
Schweden;Stockholm;True;426;210
Slowakei;Bratislava;True;497;533
Slowenien;Ljubljana;True;423;599
Spanien;Madrid;True;137;705
Tschechien;Prag;True;429;522
Ungarn;Budapest;True;486;574
Zypern;Nikosia;True;755;768
